id,text,source
1102020668135272454,https://t.co/PTLqvZNwqY,Twitter for iPhone
1102007681588563969,We’ve got NASA “rocking” again. Great activity and success. Congrats to SPACEX and all!,Twitter for iPhone
1102004371225751557,The brand new manuscript for a new book by failed lawyer Michael Cohen shows his testimony was a total lie! Pundits should only use it.,Twitter for iPhone
1102002565116542976,Virtually everything failed lawyer Michael Cohen said in his sworn testimony last week is totally contradicted in h… https://t.co/U2FKnVeFA9,Twitter for iPhone
1101880269106221058,"Thank you @marklevinshow!
https://t.co/dwQR11genG",Twitter for iPhone
1101839731761995776,"Will be speaking at CPAC at 11:30 this morning. Record crowd, live broadcast. Enjoy!",Twitter for iPhone
1101837499230498816,"Very proud of perhaps the greatest golf course anywhere in the world. Also, furthers U.K. relationship! https://t.co/3xTzzJH6Iq",Twitter for iPhone
1101620175638614016,"I have asked China to immediately remove all Tariffs on our agricultural products (including beef, pork, etc.) base… https://t.co/NZfSGSN9Qp",Twitter for iPhone
1101588727258787840,"I never like being misinterpreted, but especially when it comes to Otto Warmbier and his great family. Remember, I… https://t.co/k5uqmeIFTO",Twitter for iPhone
1101476470034259968,Michael Cohen’s book manuscript shows that he committed perjury on a scale not seen before. He must have forgotten… https://t.co/NlQQxe5zeL,Twitter for iPhone
1101473899357880321,"...and the fraudulent and dishonest statements he made on Wednesday. No way, it’s time to stop this corrupt and ill… https://t.co/lxvJvaD5Hm",Twitter for iPhone
1101472084730003457,"Oh’ I see! Now that the 2 year Russian Collusion case has fallen apart, there was no Collusion except bye Crooked H… https://t.co/UcsrT1GWDR",Twitter for iPhone
1101469141213630464,"Congress must demand the transcript of Michael Cohen’s new book, given to publishers a short time ago. Your heads w… https://t.co/nS0ekOPRtq",Twitter for iPhone
1101467190824439808,"Wow, just revealed that Michael Cohen wrote a “love letter to Trump” manuscript for a new book that he was pushing.… https://t.co/DWBFZRo2Oz",Twitter for iPhone
1101464443114921984,"Great to be back from Vietnam, an amazing place. We had very substantive negotiations with Kim Jong Un - we know wh… https://t.co/z7WMMxba7m",Twitter for iPhone
1101340141501714432,"Today in Alaska, it was my great honor to visit with our brave men and women of the United States Military at Joint… https://t.co/jKQrrvv3la",Twitter for iPhone
1101331345542918145,https://t.co/ywNk8EhOh0,Twitter for iPhone
1101331221655760897,https://t.co/hUK9dSBM3M,Twitter for iPhone
1101289772528603137,I will be interviewed by @seanhannity at 9:00 P.M. on @FoxNews. Enjoy!,Twitter for iPhone
1101289057060077569,Everyone MUST watch the opening to @TuckerCarlson - A Classic! @foxnews,Twitter for iPhone
1101065802067861505,"THANK YOU to our generous hosts in Hanoi this week: President Trong, Prime Minister Phuc, and the wonderful people… https://t.co/dYi5WHA50b",Twitter for iPhone
1100782208518946817,"Great meeting and dinner with Kim Jong Un in Hanoi, Vietnam tonight. Looking forward to continuing our discussions… https://t.co/T2ocOyyYtI",Twitter for iPhone
1100781840623751169,Great meetings and dinner tonight in Vietnam with Kim Jong Un of North Korea. Very good dialogue. Resuming tomorrow!,Twitter for iPhone
1100693519491100672,All false reporting (guessing) on my intentions with respect to North Korea. Kim Jong Un and I will try very hard t… https://t.co/aCCAjDyIXB,Twitter for iPhone
1100687085999132672,"Fiat Chrysler will be adding more than 6,500 JOBS in Michigan (Detroit area), doubling its hourly workforce as part… https://t.co/boh9MFRdZ3",Twitter for iPhone
1100683974899363840,Michael Cohen was one of many lawyers who represented me (unfortunately). He had other clients also. He was just di… https://t.co/nM5ua0wmo3,Twitter for iPhone
1100666476422410240,"I have now spent more time in Vietnam than Da Nang Dick Blumenthal, the third rate Senator from Connecticut (how is… https://t.co/EP8ww6rKtL",Twitter for iPhone
1100585431211618310,The Democrats should stop talking about what I should do with North Korea and ask themselves instead why they didn’… https://t.co/0nx5mXQo3D,Twitter for iPhone
1100584141274398720,"Vietnam is thriving like few places on earth. North Korea would be the same, and very quickly, if it would denuclea… https://t.co/Mg6y4NVVWe",Twitter for iPhone
1100412227662708737,"Just arrived in Vietnam. Thank you to all of the people for the great reception in Hanoi. Tremendous crowds, and so much love!",Twitter for iPhone
1100211495223218176,Senate Democrats just voted against legislation to prevent the killing of newborn infant children. The Democrat pos… https://t.co/MGj4b6eXtM,Twitter for iPhone
1100184874466664448,"If a deal is made with China, our great American Farmers will be treated better than they have ever been treated before!",Twitter for iPhone
1100127553203798016,Heading over to Vietnam for my meeting with Kim Jong Un. Looking forward to a very productive Summit!,Twitter for iPhone
1100126391729774592,China Trade Deal (and more) in advanced stages. Relationship between our two Countries is very strong. I have there… https://t.co/InPk1QI5dW,Twitter for iPhone
1100110409736978432,"It is my honor today to announce that Danny Burch, a United States citizen who has been held hostage in Yemen for 1… https://t.co/zRtBwYgOMK",Twitter for iPhone
1100105732450443265,"Congratulations to @DJohnsonPGA on his 20th PGA Tour WIN. Not only is Dustin a truly great golfer, he is a wonderfu… https://t.co/9TKUEFX1yS",Twitter for iPhone
1100050798015401984,Since my election as President the Dow Jones is up 43% and the NASDAQ Composite almost 50%. Great news for your 401… https://t.co/bl7slkgcLx,Twitter for iPhone
1100048114382266374,“Why on earth would any Republican vote not to put up a Wall or against Border Security. Please explain that to me?” @Varneyco,Twitter for iPhone
1100017237228949506,I hope our great Republican Senators don’t get led down the path of weak and ineffective Border Security. Without s… https://t.co/uc1Je2oSDv,Twitter for iPhone
1100015815515082752,Former Senator Harry Reid (he got thrown out) is working hard to put a good spin on his failed career. He led throu… https://t.co/IUKpCmO122,Twitter for iPhone
1100012620441100290,Meeting for breakfast with our Nation’s Governors - then off to Vietnam for a very important Summit with Kim Jong U… https://t.co/ZIHISMKN6T,Twitter for iPhone
1100002139282309121,"Oil prices getting too high. OPEC, please relax and take it easy. World cannot take a price hike - fragile!",Twitter for iPhone
1100000030319169537,"Be nice if Spike Lee could read his notes, or better yet not have to use notes at all, when doing his racist hit on… https://t.co/lr6Hyjb5pQ",Twitter for iPhone
1099995611305254912,"We have a State of Emergency at our Southern Border. Border Patrol, our Military and local Law Enforcement are doin… https://t.co/5e9CMdHSDe",Twitter for iPhone
1099803719435239426,"....productive talks, I will be delaying the U.S. increase in tariffs now scheduled for March 1. Assuming both side… https://t.co/ASdNbpcCvk",Twitter for iPhone
1099800961089003522,I am pleased to report that the U.S. has made substantial progress in our trade talks with China on important struc… https://t.co/iFqrswXCmw,Twitter for iPhone
1099722424059420673,"So funny to watch people who have failed for years, they got NOTHING, telling me how to negotiate with North Korea. But thanks anyway!",Twitter for iPhone
1099713451457462273,"The only Collusion with the Russians was with Crooked Hillary Clinton and the Democratic National Committee...And,… https://t.co/ojVg7Xi9Fs",Twitter for iPhone
1099685950077222913,93% Approval Rating in the Republican Party. 52% Approval Rating overall! Not bad considering I get the most unfair… https://t.co/HVOzsoxZub,Twitter for iPhone
1099684406002925568,Poll: Suburban women are coming back into the Republican Party in droves “because of the Wall and Border Security.… https://t.co/Jz0YqFbuS6,Twitter for iPhone
1099660044004704260,"Chairman Kim realizes, perhaps better than anyone else, that without nuclear weapons, his country could fast become… https://t.co/smNbOvs6UB",Twitter for iPhone
1099656646840778752,President Xi of China has been very helpful in his support of my meeting with Kim Jong Un. The last thing China wan… https://t.co/wDFsPyFanZ,Twitter for iPhone
1099654763531055104,"Very productive talks yesterday with China on Trade. Will continue today! I will be leaving for Hanoi, Vietnam, ear… https://t.co/r4M2lwysxU",Twitter for iPhone
1099651121088466946,"HOLD THE DATE! We will be having one of the biggest gatherings in the history of Washington, D.C., on July 4th. It… https://t.co/YvoeR0KhAV",Twitter for iPhone
1099513093653258245,So great being with you both in the Oval Office! https://t.co/9VoIV3NahE,Twitter for iPhone
1099459138038444034,“There’s not one shred of evidence that this president’s done anything Constitutionally (or anything else) wrong.”… https://t.co/pqlBBCeLJP,Twitter for iPhone
1099398639942856705,"The people of Venezuela stand at the threshold of history, ready to reclaim their country – and their future.... https://t.co/ajxd1EN64c",Twitter for iPhone
1099366469010366464,There is far more ENERGY on the Right than there is on the Left. That’s why we just won the Senate and why we will… https://t.co/qkKn4tSvlN,Twitter for iPhone
1099360827591835648,God Bless the people of Venezuela!,Twitter for iPhone
1099341141152055296,"Great new book: “The Case For Trump” by Victor Davis Hanson, Hoover Senior Fellow.",Twitter for iPhone
1099082125523992576,"I am pleased to announce that Kelly Knight Craft, our current Ambassador to Canada, is being nominated to be United… https://t.co/TPXgm22rw6",Twitter for iPhone
1098976205238398976,A must read by @KimStrassel! https://t.co/Gfyrfpy55b,Twitter for iPhone
1098959451292426241,Fake News is so bad for our Country! https://t.co/ZwA8E0URer,Twitter for iPhone
1098948459405721600,"Highly respected Senator Richard Burr, head of Senate Intelligence, said, after interviewing over 200 witnesses and… https://t.co/So0qm3SrYv",Twitter for iPhone
1098740934588751872,"We are here to honor the extraordinary contributions of African-Americans to every aspect of American Life, History… https://t.co/51s1YX9Oq8",Twitter for iPhone
1098676390780719104,"Senator John Cornyn has done an outstanding job for the people of Texas. He is strong on Crime, the Border, the Sec… https://t.co/gxJLXzB5Ax",Twitter for iPhone
1098615818512941057,.@JussieSmollett - what about MAGA and the tens of millions of people you insulted with your racist and dangerous comments!? #MAGA,Twitter for iPhone
1098587583469228037,THE WALL IS UNDER CONSTRUCTION RIGHT NOW! https://t.co/exUJCiITsz,Twitter for iPhone
1098583029713420288,"....something that is so obviously the future. I want the United States to win through competition, not by blocking… https://t.co/hztqUt8v9S",Twitter for iPhone
1098581869233344512,"I want 5G, and even 6G, technology in the United States as soon as possible. It is far more powerful, faster, and s… https://t.co/quvGzqNGpZ",Twitter for iPhone
1098327855145062411,"I have instructed Secretary of State Mike Pompeo, and he fully agrees, not to allow Hoda Muthana back into the Country!",Twitter for iPhone
1098295228837048325,"We have just built this powerful Wall in New Mexico. Completed on January 30, 2019 – 47 days ahead of schedule! Man… https://t.co/32ThjNvKoy",Twitter for iPhone
1098224105931853827,California now wants to scale back their already failed “fast train” project by substantially shortening the distan… https://t.co/uYCn3ZXAuU,Twitter for iPhone
1098218016255414272,The New York Times reporting is false. They are a true ENEMY OF THE PEOPLE!,Twitter for iPhone
1098204256602066945,"“If thinking that James Comey is not a good FBI Director is tantamount to being an agent of Russia, than just list… https://t.co/74wrz829kQ",Twitter for iPhone
1098201685518893056,“The Washington Post ignored basic journalistic standards because it wanted to advance its well-known and easily do… https://t.co/cKc9DXhdfy,Twitter for iPhone
1098195686540169223,The Press has never been more dishonest than it is today. Stories are written that have absolutely no basis in fact… https://t.co/RxYyJKcRf1,Twitter for iPhone
1098192352072646656,Crazy Bernie has just entered the race. I wish him well!,Twitter for iPhone
1098191360987930624,“Andrew McCabe gave absolutely no evidence of any threat to substantiate his ABSURD claim.” @LouDobbs,Twitter for iPhone
1097901336308400128,https://t.co/xRbxknI4Nf,Twitter for iPhone
1097889803864064001,I never said anything bad about Andrew McCabe’s wife other than she (they) should not have taken large amounts of c… https://t.co/zud16rNaSK,Twitter for iPhone
1097879075979436033,"The Washington Post is a Fact Checker only for the Democrats. For the Republicans, and for your all time favorite P… https://t.co/2ig6094L72",Twitter for iPhone
1097856727020720128,"The failed Fast Train project in California, where the cost overruns are becoming world record setting, is hundreds… https://t.co/PCzq8Q0hX1",Twitter for iPhone
1097856404629700609,"As I predicted, 16 states, led mostly by Open Border Democrats and the Radical Left, have filed a lawsuit in, of co… https://t.co/uGPugSzFGu",Twitter for iPhone
1097835706024644608,"Had the opposition party (no, not the Media) won the election, the Stock Market would be down at least 10,000 point… https://t.co/yP4yfOTDU3",Twitter for iPhone
1097833456254492672,"“....(The Witch Hunt) in time likely will become recognized as the greatest scandal in American political history,… https://t.co/5w142qf3XG",Twitter for iPhone
1097698985953898497,"Remember this, Andrew McCabe didn’t go to the bathroom without the approval of Leakin’ James Comey!",Twitter for iPhone
1097697667684155392,Thank you Andrew - We all miss beautiful Meadow! https://t.co/a5PLSwpJyx,Twitter for iPhone
1097695719706845184,Thank you JT! https://t.co/L1HDeXWazc,Twitter for iPhone
1097692456911626243,Amazing! https://t.co/uUNCL1hPAk,Twitter for iPhone
1097690731882446849,"“The biggest abuse of power and corruption scandal in our history, and it’s much worse than we thought. Andrew McCa… https://t.co/epia7ZUKWN",Twitter for iPhone
1097666398778785792,Today more than 50 countries around the world now recognize the rightful government of Venezuela. The Venezuelan pe… https://t.co/80uVw9eGfn,Twitter for iPhone
