id,text,source
1108335293671845888,"George Conway, often referred to as Mr. Kellyanne Conway by those who know him, is VERY jealous of his wife’s success &amp; angry that I, with her help, didn’t give him the job he so desperately wanted. I barely know him but just take a look, a stone cold LOSER &amp; husband from hell!","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
1108217768187449344,"The Democrats are getting very “strange.” They now want to change the voting age to 16, abolish the Electoral College, and Increase significantly the number of Supreme Court Justices. Actually, you’ve got to win it at the Ballot Box!","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
1108214845294428161,Not a good situation! https://t.co/uaMcSrX4yM,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
1108190837257764864,"....just the large States - the Cities would end up running the Country. Smaller States &amp; the entire Midwest would end up losing all power - &amp; we can’t let that happen. I used to like the idea of the Popular Vote, but now realize the Electoral College is far better for the U.S.A.","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
1108187855954870272,"Campaigning for the Popular Vote is much easier &amp; different than campaigning for the Electoral College. It’s like training for the 100 yard dash vs. a marathon. The brilliance of the Electoral College is that you must go to many States to win. With the Popular Vote, you go to....","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
1108147024485122053,"Thank you @JesseBWatters, could not have said it any better myself! https://t.co/HirL10zwZl","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
1108118176754208771,"Amazingly, CNN just released a poll at 71%, saying that the economy is in the best shape since 2001, 18 years! WOW, is CNN becoming a believer?","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
1108036445510516736,https://t.co/95I4towyEP,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>"
1108028566791471104,I will be looking into this! #StopTheBias https://t.co/ZTWQolvmdM,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
1108004465121075200,"Facebook, Google and Twitter, not to mention the Corrupt Media, are sooo on the side of the Radical Left Democrats. But fear not, we will win anyway, just like we did before! #MAGA","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
1107997913584726020,“You can’t dispel this mood of positive energy.”  @Varneyco  The Economy is Great!,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
1107983725034463232,A total loser! https://t.co/vm3Vv2f9jf,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
1107981131012628481,"The Fake News Media has NEVER been more Dishonest or Corrupt than it is right now. There has never been a time like this in American History. Very exciting but also, very sad! Fake News is the absolute Enemy of the People and our Country itself!","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
1107851414779379712,https://t.co/h2bZ1p3UlY,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>"
1107818672393990145,https://t.co/QxJBMTAZqG,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>"
1107817082723450880,"Rep. Devin Nunes Files $250M Defamation Lawsuit Against Twitter, Two Anonymous Twitter Accounts https://t.co/fT9ZXdWg7z via @thedailybeast","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
1107771030385426432,"While the press doesn’t like writing about it, nor do I need them to, I donate my yearly Presidential salary of $400,000.00 to different agencies throughout the year, this to Homeland Security. If I didn’t do it there would be hell to pay from the FAKE NEWS MEDIA! https://t.co/xqIGUOwh4x","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
1107757465691656192,https://t.co/precsXDarx,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>"
1107747850845331456,Our prayers are with the great people of South Dakota. We are staying in close contact with @GovKristiNoem and all the State and Local leaders during and after these devastating floods. Everyone be safe! https://t.co/9CNcPJZ3qi,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
1107746633230532608,My team is staying in close contact with Governor Kim Reynolds (@IAGovernor) of Iowa and the local officials managing these floods. We support you and thank all of the first responders working long hours to help the great people of Iowa! https://t.co/mZ4grxQ1Sa,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
1107676046613274626,https://t.co/sb4UfYkFWI,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>"
1107673256268623872,GDP growth during the four quarters of 2018 was the fastest since 2005. This Administration is the first on record to have experienced economic growth that meets or exceeds its own forecasts in each of its first two years in office. GROWTH is beating MARKET EXPECTATIONS!,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
1107659841538015232,"Wow! A Suffolk/USA Today Poll, just out, states, “50% of Americans AGREE that  Robert Mueller’s investigation is a Witch Hunt.” @MSNBC  Very few think it is legit! We will soon find out?","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
1107637405010530305,The Fake News Media is working overtime to blame me for the horrible attack in New Zealand. They will have to work very hard to prove that one. So Ridiculous!,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
1107631297076305920,"Joe Biden got tongue tied over the weekend when he was unable to properly deliver a very simple line about his decision to run for President. Get used to it, another low I.Q. individual!","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
1107611445414510592,93% Approval Rating in the Republican Party. Thank you!,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
1107608921370513408,"....are all coming back to the U.S. So is everyone else. We now have the best Economy in the World, the envy of all. Get that big, beautiful plant in Ohio open now. Close a plant in China or Mexico, where you invested so heavily pre-Trump, but not in the U.S.A. Bring jobs home!","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
